City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Nikolskoye,RU,57.09,few clouds,59.7035,30.7861,Tourist House - Sablino
4,Vardo,NO,51.03,few clouds,70.3705,31.1107,Vardø Hotel AS
18,Chibombo,ZM,57.74,few clouds,-14.6569,28.0706,Chibombo District Council Guest House
19,Bilibino,RU,57.78,few clouds,68.0546,166.4372,Gostinitsa Severyanka
22,Port Alfred,ZA,56.59,broken clouds,-33.5906,26.891,The Halyards Hotel
27,Bredasdorp,ZA,55.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
28,Vagur,FO,48.97,scattered clouds,61.4732,-6.8119,The Scouts House Camping
29,Yellowknife,CA,51.84,light rain,62.456,-114.3525,The Explorer Hotel
32,New Norfolk,AU,47.7,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
34,Zbarazh,UA,50.7,broken clouds,49.6636,25.7762,Edelʹveys
36,Cape Town,ZA,55.11,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
37,Lebu,CL,56.39,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
43,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
47,Alice Springs,AU,53.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
53,Mataura,NZ,49.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
57,Kawakawa,NZ,58.14,overcast clouds,-35.3833,174.0667,Hunter Star Hotel
59,Busselton,AU,49.08,few clouds,-33.65,115.3333,Observatory Guest House
66,Irbeyskoye,RU,59.99,light rain,55.6428,95.4522,"Gostinitsa ""Agul"""
72,Dunedin,NZ,48.79,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
73,Hermanus,ZA,55.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
75,Otradnoye,RU,59.05,few clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
78,Ancud,CL,51.42,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
79,Nemuro,JP,51.4,moderate rain,43.3236,145.575,Hotel Nemuro Kaiyoutei
81,Batemans Bay,AU,54.91,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
84,Turgenevo,RU,51.1,clear sky,54.8455,46.3297,"Gostinitsa ""Uyut"" Ip Nesytova"
85,Torbay,CA,57.63,broken clouds,47.6666,-52.7314,Gallows Cove
86,Prince Rupert,CA,51.89,overcast clouds,54.3161,-130.3201,Crest Hotel
90,Udachnyy,RU,53.29,overcast clouds,66.4167,112.4,Severnoye Siyaniye
91,Carnarvon,AU,51.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
95,Borovichi,RU,50.13,broken clouds,58.3878,33.9155,Gostinitsa Vintazh
97,Port Lincoln,AU,57.0,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
98,East London,ZA,58.57,overcast clouds,-33.0153,27.9116,Tu Casa
106,Broken Hill,AU,49.03,clear sky,-31.95,141.4333,Royal Exchange Hotel
113,Klyuchi,RU,59.32,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
130,Havoysund,NO,50.88,few clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
131,Chifeng,CN,56.3,light rain,42.2683,118.9636,Junyu Tiancheng Hotel
134,Zarichne,UA,53.02,broken clouds,51.8126,26.129,Yunistʹ
139,Mosquera,CO,59.09,scattered clouds,4.7059,-74.2302,Hotel SJ
140,Cervo,ES,50.97,scattered clouds,43.6702,-7.4101,Hotel Spa Galatea
143,Bluff,NZ,49.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
148,Alihe,CN,49.57,light rain,50.5667,123.7167,Alihe Forestry Hotel
151,Ventspils,LV,53.53,clear sky,57.3894,21.5606,Jūras brīze
160,Kodiak,US,53.11,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
163,Thurso,GB,52.05,scattered clouds,58.5927,-3.5259,Weigh Inn Hotel
168,Grindavik,IS,50.56,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
169,Hobart,AU,47.05,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
175,Ust-Nera,RU,57.2,few clouds,64.5667,143.2,Hotel Ust-Nera
201,Lisakovsk,KZ,56.32,overcast clouds,52.5369,62.4936,Gostinitsa Lisakovsk
202,Seoul,KR,58.57,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
205,Qaqortoq,GL,50.5,broken clouds,60.7167,-46.0333,Hotel Qaqortoq
207,Codrington,AU,51.22,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
209,Cidreira,BR,59.94,clear sky,-30.1811,-50.2056,Hotel Castelo
212,Constitucion,CL,58.28,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
214,Port Macquarie,AU,57.88,clear sky,-31.4333,152.9167,Rydges Port Macquarie
219,Port Hardy,CA,54.16,broken clouds,50.6996,-127.4199,Airport Inn
222,Gusinoye Ozero,RU,57.99,clear sky,51.1144,106.2614,Gusi-Lebedi Baza Otdykha
223,Nelson Bay,AU,58.08,few clouds,-32.7167,152.15,Mantra Nelson Bay
228,Chuy,UY,52.16,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
231,Skjervoy,NO,51.31,few clouds,70.0311,20.9714,Skjervøy Byggeservice AS
232,Tuatapere,NZ,49.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
243,Xichang,CN,56.12,light rain,27.8964,102.2634,Xichang ibis Hotel
248,Kruisfontein,ZA,48.83,few clouds,-34.0033,24.7314,Oyster Bay House Rental
266,Kaitangata,NZ,50.94,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
267,Esperance,AU,56.1,clear sky,-33.8667,121.9,Hospitality Esperance
270,Husavik,IS,50.0,overcast clouds,66.0449,-17.3389,Bjarnabúð
273,Plettenberg Bay,ZA,55.09,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
274,Paso De Los Toros,UY,57.94,broken clouds,-32.8167,-56.5167,Complejo Isabelino
276,Krasnyy Chikoy,RU,48.4,broken clouds,50.3643,108.7512,Persona
286,Cap-Aux-Meules,CA,52.07,overcast clouds,47.3821,-61.8597,Auberge Madeli
291,Uglich,RU,48.72,broken clouds,57.5275,38.3317,Volzhskaya Riv'yera
