City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
11,Hilo,US,81.81,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
14,Lompoc,US,86.14,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
16,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
17,Najran,SA,78.33,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
21,Kavaratti,IN,83.86,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
26,Bengkulu,ID,76.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
30,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Gunjur,GM,75.27,clear sky,13.2019,-16.7339,Kuba Lodge
33,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
40,Karawang,ID,82.53,overcast clouds,-6.3042,107.3079,SPOT ON 2412 Mandala Residence
42,Dakar,SN,76.08,broken clouds,14.6937,-17.4441,Redface Studios Meublés
44,Daund,IN,80.01,broken clouds,18.4667,74.6,Kende Wada
46,Summerland,CA,87.08,overcast clouds,49.5998,-119.6691,Summerland Waterfront Resort Hotel
48,Butaritari,KI,83.07,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
60,Kieta,PG,82.08,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
61,Tabuk,PH,77.83,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
68,Cockburn Town,TC,79.83,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
69,Kirakira,SB,80.24,overcast clouds,-10.4544,161.9205,SanBiz Lodge
76,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
83,Santa Rosa,PH,81.86,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
87,San Patricio,US,82.27,moderate rain,28.017,-97.5169,"Motel 6 Sinton, TX"
103,Soyo,AO,77.29,broken clouds,-6.1349,12.3689,Hotel Mpampa
108,Hithadhoo,MV,83.48,overcast clouds,-0.6,73.0833,Scoop Guest House
112,Dhidhdhoo,MV,82.4,overcast clouds,6.8833,73.1,Dhidhoo beach
115,Pascagoula,US,83.05,few clouds,30.3658,-88.5561,Regency Inn
120,Banes,CU,79.41,broken clouds,20.9625,-75.7186,Hostal Iván y yailet
121,Camocim,BR,79.9,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
125,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
133,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
136,Tulum,MX,84.92,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
137,Port-Gentil,GA,78.57,clear sky,-0.7193,8.7815,Fengshui Residence
138,Tautira,PF,84.0,light rain,-17.7333,-149.15,Pension Oaoa
141,Kismayo,SO,78.51,broken clouds,-0.3582,42.5454,Agan-Hotel
147,Mogadishu,SO,78.51,few clouds,2.0371,45.3438,Hotel Juba
150,Atuona,PF,79.3,light rain,-9.8,-139.0333,Villa Enata
154,Rockport,US,82.44,overcast clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
155,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
156,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
158,Matadi,CD,75.29,scattered clouds,-5.8167,13.45,Hotel Vivi Palace
159,Faanui,PF,80.04,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
161,Wamba,NG,75.15,light rain,8.9333,8.6,Roma Zee Guest House Annex
165,Ca Mau,VN,79.32,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
166,Banjar,ID,78.66,broken clouds,-8.19,114.9675,The Hamsa Resort
171,Victoria,HK,86.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
177,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
