City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hambantota,LK,2021-06-03 22:05:45,6.1241,81.1185,79.14,100,40,15.52,scattered clouds
1,Punta Arenas,CL,2021-06-03 22:05:46,-53.15,-70.9167,35.11,93,100,11.99,light rain
2,Port Keats,AU,2021-06-03 22:05:48,-14.25,129.55,74.53,64,92,7.61,overcast clouds
3,Nikolskoye,RU,2021-06-03 22:05:50,59.7035,30.7861,57.09,82,20,4.72,few clouds
4,Vardo,NO,2021-06-03 22:05:51,70.3705,31.1107,51.03,63,20,9.95,few clouds
5,Thompson,CA,2021-06-03 22:04:19,55.7435,-97.8558,65.71,34,100,6.17,overcast clouds
6,Chokurdakh,RU,2021-06-03 22:05:54,70.6333,147.9167,57.34,58,100,2.46,overcast clouds
7,Caldwell,US,2021-06-03 22:04:44,43.6629,-116.6874,102.52,18,1,1.01,clear sky
8,Jamestown,US,2021-06-03 22:02:51,42.097,-79.2353,69.12,95,75,5.75,broken clouds
9,Clyde River,CA,2021-06-03 22:05:58,70.4692,-68.5914,31.59,94,100,9.82,overcast clouds
10,Castro,BR,2021-06-03 22:06:00,-24.7911,-50.0119,61.11,87,32,1.16,scattered clouds
11,Hilo,US,2021-06-03 22:05:06,19.7297,-155.09,81.81,80,14,5.01,few clouds
12,Poplar Bluff,US,2021-06-03 22:06:02,36.757,-90.3929,73.87,76,20,0.0,few clouds
13,Arraial Do Cabo,BR,2021-06-03 22:01:16,-22.9661,-42.0278,74.32,83,0,6.67,clear sky
14,Lompoc,US,2021-06-03 22:06:07,34.6391,-120.4579,86.14,63,13,3.0,few clouds
15,Pevek,RU,2021-06-03 22:06:08,69.7008,170.3133,34.75,74,54,2.21,broken clouds
16,Georgetown,MY,2021-06-03 22:02:07,5.4112,100.3354,80.89,86,20,3.4,few clouds
17,Najran,SA,2021-06-03 22:05:12,17.4924,44.1277,78.33,16,72,3.85,broken clouds
18,Chibombo,ZM,2021-06-03 22:06:12,-14.6569,28.0706,57.74,55,12,3.62,few clouds
