City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,51.08,89,51,7.96,AU,2021-05-31 21:52:18
1,Kahului,20.8947,-156.47,87.82,68,20,16.11,US,2021-05-31 21:51:55
2,Ushuaia,-54.8,-68.3,31.66,93,75,3.44,AR,2021-05-31 21:48:04
3,Salalah,17.0151,54.0924,80.58,80,98,8.21,OM,2021-05-31 21:52:18
4,Thurso,58.5927,-3.5259,52.05,92,100,13.51,GB,2021-05-31 21:52:18
5,Jamestown,42.097,-79.2353,70.3,38,1,4.0,US,2021-05-31 21:48:23
6,Pringsewu,-5.3582,104.9744,73.72,96,97,4.36,ID,2021-05-31 21:52:19
7,Puerto Ayora,-0.7393,-90.3518,80.56,88,43,8.01,EC,2021-05-31 21:52:06
8,Rikitea,-23.1203,-134.9692,74.23,65,20,16.55,PF,2021-05-31 21:51:17
9,Cape Town,-33.9258,18.4232,55.81,90,20,2.17,ZA,2021-05-31 21:50:15
10,Hilo,19.7297,-155.09,92.28,74,90,10.36,US,2021-05-31 21:52:19
11,Jumla,29.2747,82.1838,52.75,91,11,4.21,NP,2021-05-31 21:52:20
12,Stokmarknes,68.5646,14.9108,49.5,89,100,4.63,NO,2021-05-31 21:52:20
13,Mataura,-46.1927,168.8643,41.58,93,58,2.28,NZ,2021-05-31 21:52:20
14,Atuona,-9.8,-139.0333,79.03,70,96,9.33,PF,2021-05-31 21:52:21
15,Isangel,-19.55,169.2667,73.51,68,75,13.69,VU,2021-05-31 21:52:21
16,Quatre Cocos,-20.2078,57.7625,73.51,75,6,8.46,MU,2021-05-31 21:52:21
17,Lompoc,34.6391,-120.4579,75.11,72,75,4.0,US,2021-05-31 21:52:22
18,San Rafael,-34.6177,-68.3301,62.46,35,41,7.27,AR,2021-05-31 21:52:22
19,Sisimiut,66.9395,-53.6735,37.0,79,75,8.21,GL,2021-05-31 21:52:22
20,Kapaa,22.0752,-159.319,85.48,68,90,1.01,US,2021-05-31 21:52:23
21,East London,-33.0153,27.9116,60.19,80,77,10.8,ZA,2021-05-31 21:52:23
22,Corinth,37.9407,22.9573,70.75,69,27,9.95,GR,2021-05-31 21:52:23
23,Mao,39.8885,4.2658,66.76,94,0,5.75,ES,2021-05-31 21:52:24
24,Victoria,22.2855,114.1577,81.32,95,100,3.87,HK,2021-05-31 21:50:45
25,Gamba,-2.65,10.0,75.69,92,100,4.05,GA,2021-05-31 21:52:25
26,Butaritari,3.0707,172.7902,83.59,77,76,19.04,KI,2021-05-31 21:52:25
27,Soyo,-6.1349,12.3689,77.09,90,43,7.72,AO,2021-05-31 21:52:25
28,Kodiak,57.79,-152.4072,49.51,81,90,16.11,US,2021-05-31 21:52:26
29,Tasiilaq,65.6145,-37.6368,32.94,81,83,3.8,GL,2021-05-31 21:52:26
30,Kamphaeng Phet,16.25,99.5,80.78,74,89,2.77,TH,2021-05-31 21:52:26
31,Olafsvik,64.8945,-23.7142,45.16,79,62,18.99,IS,2021-05-31 21:52:27
32,Chokurdakh,70.6333,147.9167,64.2,33,44,9.33,RU,2021-05-31 21:52:27
33,Hermanus,-34.4187,19.2345,54.9,81,20,5.59,ZA,2021-05-31 21:52:27
34,Vaini,-21.2,-175.2,69.96,94,90,0.0,TO,2021-05-31 21:52:28
35,Albany,42.6001,-73.9662,67.68,61,66,6.62,US,2021-05-31 21:52:29
36,Narsaq,60.9167,-46.05,42.69,79,44,4.21,GL,2021-05-31 21:52:29
37,Qaanaaq,77.484,-69.3632,33.49,88,100,2.24,GL,2021-05-31 21:52:30
38,Tiksi,71.6872,128.8694,44.98,71,7,3.38,RU,2021-05-31 21:52:30
39,San Cristobal,7.7669,-72.225,77.18,60,59,3.09,VE,2021-05-31 21:52:30
40,Santiago Del Estero,-27.7951,-64.2615,63.39,40,0,5.55,AR,2021-05-31 21:52:31
41,Champerico,14.3,-91.9167,93.74,62,30,6.78,GT,2021-05-31 21:52:31
42,Korla,41.7597,86.1469,74.8,22,81,3.13,CN,2021-05-31 21:52:31
43,Punta Arenas,-53.15,-70.9167,35.71,69,0,5.03,CL,2021-05-31 21:51:48
44,Arraial Do Cabo,-22.9661,-42.0278,71.56,94,75,2.3,BR,2021-05-31 21:52:32
45,Pevek,69.7008,170.3133,39.49,70,3,3.74,RU,2021-05-31 21:52:32
46,Kirkwall,58.9848,-2.9587,52.14,87,94,17.27,GB,2021-05-31 21:52:32
47,Bluff,-46.6,168.3333,46.62,77,88,11.41,NZ,2021-05-31 21:52:33
48,Dori,14.0354,-0.0345,97.12,17,41,7.61,BF,2021-05-31 21:52:33
49,Hithadhoo,-0.6,73.0833,83.55,68,87,16.67,MV,2021-05-31 21:52:33
50,New Norfolk,-42.7826,147.0587,51.58,73,100,1.01,AU,2021-05-31 21:52:34
51,Los Llanos De Aridane,28.6585,-17.9182,64.15,89,0,10.8,ES,2021-05-31 21:52:34
52,Mosquera,4.7059,-74.2302,64.49,55,40,6.91,CO,2021-05-31 21:52:34
53,Tupik,54.4253,119.9327,48.97,97,100,10.58,RU,2021-05-31 21:52:35
54,Whitefish,48.4111,-114.3376,78.42,36,1,4.25,US,2021-05-31 21:50:36
55,Carnarvon,-24.8667,113.6333,53.67,94,0,9.22,AU,2021-05-31 21:52:35
56,Bredasdorp,-34.5322,20.0403,54.72,88,3,7.34,ZA,2021-05-31 21:52:36
57,Kavieng,-2.5744,150.7967,80.91,79,98,6.46,PG,2021-05-31 21:52:36
58,Longyearbyen,78.2186,15.6401,30.99,86,84,5.28,SJ,2021-05-31 21:52:36
59,Hobart,-42.8794,147.3294,51.93,66,0,7.0,AU,2021-05-31 21:52:36
60,Sarangani,5.4033,125.4636,81.07,81,100,15.59,PH,2021-05-31 21:52:37
61,Lannion,48.75,-3.4167,61.05,72,0,4.61,FR,2021-05-31 21:52:37
62,Homer,59.6425,-151.5483,53.49,73,90,4.61,US,2021-05-31 21:52:37
63,Barrow,71.2906,-156.7887,32.02,74,90,10.36,US,2021-05-31 21:52:38
64,Dingle,10.9995,122.6711,78.66,87,100,1.45,PH,2021-05-31 21:52:38
65,Marawi,7.9986,124.2928,66.65,96,100,3.69,PH,2021-05-31 21:52:38
66,Kavaratti,10.5669,72.642,83.66,74,100,19.55,IN,2021-05-31 21:52:39
67,Castro,-24.7911,-50.0119,56.17,98,99,2.82,BR,2021-05-31 21:52:39
68,Padang,-0.9492,100.3543,77.07,84,55,3.29,ID,2021-05-31 21:52:39
69,Port Alfred,-33.5906,26.891,60.08,81,96,11.27,ZA,2021-05-31 21:52:40
70,Kamina,-8.7386,24.9906,61.07,51,52,3.27,CD,2021-05-31 21:52:40
71,Kemijarvi,66.7131,27.4306,46.85,70,100,4.38,FI,2021-05-31 21:52:40
72,Torbay,47.6666,-52.7314,55.27,69,75,19.57,CA,2021-05-31 21:52:41
73,Juneau,58.3019,-134.4197,55.4,94,90,5.01,US,2021-05-31 21:52:41
74,Steenwijk,52.7875,6.1208,59.92,87,0,7.87,NL,2021-05-31 21:52:41
75,Ahipara,-35.1667,173.1667,61.48,69,12,13.42,NZ,2021-05-31 21:52:42
76,Santa Rosa Del Sur,7.9644,-74.0544,79.23,83,91,1.72,CO,2021-05-31 21:52:42
77,Umm Lajj,25.0213,37.2685,87.6,42,8,4.81,SA,2021-05-31 21:52:43
78,Bengkulu,-3.8004,102.2655,75.22,93,99,3.85,ID,2021-05-31 21:52:43
79,Shenjiamen,29.9576,122.298,70.88,84,63,12.93,CN,2021-05-31 21:52:43
80,Chernaya Kholunitsa,58.8511,51.7154,38.17,73,93,2.77,RU,2021-05-31 21:52:44
81,Isilkul,54.9109,71.2728,56.89,93,99,13.65,RU,2021-05-31 21:52:44
82,Yulara,-25.2406,130.9889,58.84,38,90,5.75,AU,2021-05-31 21:52:44
83,Tuktoyaktuk,69.4541,-133.0374,30.2,80,90,14.97,CA,2021-05-31 21:52:45
84,Betioky,-23.7167,44.3833,63.97,79,55,8.46,MG,2021-05-31 21:52:45
